,RESPONSIBILITY,,,,,,,,,,,,,CAPACITY,,,,,,,,,,,,,EQUALITY,,,,,,,,,
,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2,,,,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2,,,,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2
AFG,0,0.4,3.97,9.26,16,26.45,36.24,42.85,46.56,0.18,,,AFG,0,0.32,2.77,5.88,9,13.6,17.41,19.65,20.86,0.09,,,AFG,0.00,7.44,82.42,205.45,382.21,661.17,928.75,1104.77,1184.67,4.56
ALB,0,2.94,29.4,68.6,118.58,196,268.52,317.53,344.97,1.35,,,ALB,0,3.12,32.76,80,148.83,264.12,388.3,497.47,590.24,2,,,ALB,0.00,0.58,5.29,11.44,17.56,25.88,31.68,33.22,31.88,0.16
DZA,0,5.33,53.27,124.29,214.84,355.11,486.5,575.27,624.99,2.44,,,DZA,0,2.86,26.94,60.29,97.94,153.55,202.49,232.58,246.62,1.02,,,DZA,0.00,8.47,86.86,204.90,359.99,600.39,819.22,957.61,1028.12,4.07
AGO,0,1.56,15.63,36.47,63.03,104.19,142.74,168.79,183.37,0.72,,,AGO,0,1.93,15.38,30.1,40.5,53.8,60.49,59.47,54.91,0.32,,,AGO,0.00,6.42,78.21,212.56,449.90,884.56,1413.96,1927.71,2373.56,7.35
ATG,0,6.49,64.88,151.38,261.68,432.52,592.56,700.69,761.24,2.97,,,ATG,0,8.31,80.55,184.05,311.23,507.37,685.84,800.29,862.83,3.44,,,ATG,0.00,0.02,0.20,0.47,0.80,1.28,1.70,1.96,2.07,0.01
ARG,0,8.31,83.08,193.86,335.1,553.88,758.82,897.29,974.84,3.81,,,ARG,0,7.21,70.25,160.07,266.84,426.25,566.63,654.02,698.86,2.85,,,ARG,0.00,8.90,88.10,204.13,349.44,572.11,774.48,900.92,959.87,3.86
ARM,0,7.2,72.01,168.03,290.45,480.08,657.71,777.73,844.94,3.3,,,ARM,0,2.42,25.65,62.53,114.72,200.7,291.59,367.64,426.64,1.49,,,ARM,0.00,0.57,5.24,11.36,17.67,26.42,32.74,34.87,34.20,0.16
AUS,0,28.94,289.38,675.21,1167.15,1929.18,2642.97,3125.26,3395.35,13.25,,,AUS,0,36.04,343.22,769.73,1250.79,1942.6,2502.8,2785.95,2862.86,12.49,,,AUS,0.00,4.97,50.30,118.43,208.00,350.27,489.27,590.14,653.76,2.47
AUT,0,21.71,217.08,506.52,875.55,1447.19,1982.65,2344.45,2547.05,9.94,,,AUT,0,34.19,352.22,838.89,1487.43,2506.64,3475.79,4132.76,4493.51,17.32,,,AUT,0.00,1.72,16.08,35.66,57.38,89.04,115.54,130.46,136.59,0.58
