,,,,,,,,,,,,,,
,,STORAGE POTENTIAL (Mt CO2),,,,REMOVAL POTENTIAL (Mt CO2),,,,,,,,
,Country,? 2070,2080,2090,2100,2020,2030,2040,2050,2060,2070,2080,2090,2100
AUT,Austria,0.325,0.217,0.108,0.000,3.097,2.746,2.396,2.045,1.694,1.344,0.896,0.448,0
BEL,Belgium,0.357,0.304,0.252,0.199,0.722,0.650,0.578,0.506,0.434,0.362,0.241,0.121,0
BGR,Bulgaria,3.108,2.778,2.449,2.120,2.948,2.693,2.438,2.183,1.927,1.672,1.115,0.557,0
CYP,Cyprus,0.022,0.015,0.007,0.000,0.040,0.037,0.034,0.031,0.028,0.025,0.017,0.008,0
CZE,Czech Republic,2.952,2.253,1.553,0.853,4.727,4.186,3.645,3.104,2.563,2.022,1.348,0.674,0
DEU,Germany,18.406,17.964,17.522,17.080,12.731,11.291,9.850,8.409,6.968,5.527,3.685,1.842,0
DNK,Denmark,2.874,2.835,2.795,2.756,0.948,0.844,0.739,0.634,0.530,0.425,0.283,0.142,0
ESP,Spain,19.025,17.409,15.794,14.179,26.533,23.701,20.869,18.036,15.204,12.372,8.248,4.124,0
EST,Estonia,0.164,0.110,0.055,0.000,2.876,2.530,2.184,1.837,1.491,1.145,0.763,0.382,0
FIN,Finland,1.156,0.771,0.385,0.000,6.893,6.039,5.185,4.330,3.476,2.622,1.748,0.874,0
FRA,France,14.130,12.318,10.505,8.692,16.769,15.304,13.839,12.374,10.909,9.444,6.296,3.148,0
GBR,United Kingdom,17.531,16.487,15.444,14.400,7.050,6.560,6.070,5.581,5.091,4.601,3.067,1.534,0
GRC,Greece,2.687,1.876,1.065,0.254,4.819,4.479,4.138,3.798,3.458,3.118,2.079,1.039,0
HUN,Hungary,1.101,0.939,0.778,0.616,2.649,2.378,2.108,1.837,1.567,1.296,0.864,0.432,0
IRL,Ireland,1.492,0.995,0.497,0.000,4.156,3.822,3.488,3.154,2.820,2.487,1.658,0.829,0
ITA,Italy,8.929,8.136,7.343,6.550,7.630,6.973,6.317,5.660,5.004,4.347,2.898,1.449,0
LTU,Lithuania,0.246,0.176,0.107,0.037,3.513,3.094,2.676,2.258,1.839,1.421,0.947,0.474,0
LUX,Luxembourg,0.010,0.007,0.003,0.000,0.074,0.066,0.057,0.049,0.041,0.033,0.022,0.011,0
LVA,Latvia,0.692,0.596,0.500,0.404,3.620,3.194,2.769,2.343,1.918,1.492,0.995,0.497,0
MLT,Malta,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
NLD,Netherlands,2.589,2.506,2.423,2.340,0.599,0.554,0.509,0.464,0.419,0.374,0.250,0.125,0
POL,Poland,4.151,3.748,3.344,2.940,11.194,9.946,8.699,7.451,6.203,4.955,3.303,1.652,0
PRT,Portugal,1.582,1.055,0.527,0.000,5.182,4.709,4.235,3.762,3.288,2.814,1.876,0.938,0
ROU,Romania,10.494,9.996,9.498,9.000,6.102,5.499,4.896,4.292,3.689,3.086,2.057,1.029,0
HRV,Croatia,3.413,3.242,3.070,2.899,1.520,1.387,1.254,1.121,0.988,0.855,0.570,0.285,0
SVK,Slovakia,1.951,1.872,1.794,1.716,1.535,1.370,1.205,1.039,0.874,0.708,0.472,0.236,0
SVN,Slovenia,0.184,0.154,0.124,0.094,0.761,0.677,0.593,0.509,0.425,0.341,0.228,0.114,0
SWE,Sweden,0.687,0.458,0.229,0.000,8.692,7.638,6.584,5.530,4.476,3.422,2.282,1.141,0
,,,,,,,,,,,,,,0
