,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RESPONSIBILITY,,,,,,,,,,,,,CAPABILITY,,,,,,,,,,,,,EQUALITY,,,,,,,,,,,,,MULTICRITERIA
,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2,,,,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2,,,,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2,,,,Cumulative Gt CO2
AFG,,0.00,0.00,0.01,0.02,0.04,0.06,0.07,0.08,0.28,,,AFG,,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.04,0.17,,,AFG,,0.00,0.01,0.02,0.04,0.08,0.12,0.15,0.17,0.57,,,AFG,0.49
ALB,,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.07,,,ALB,,0.00,0.00,0.01,0.01,0.02,0.03,0.03,0.03,0.13,,,ALB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,ALB,0.03
DZA,,0.01,0.06,0.16,0.28,0.49,0.68,0.82,0.89,3.39,,,DZA,,0.00,0.04,0.09,0.15,0.25,0.34,0.40,0.44,1.71,,,DZA,,0.00,0.01,0.02,0.03,0.06,0.09,0.11,0.13,0.45,,,DZA,0.86
AGO,,0.00,0.02,0.05,0.10,0.21,0.35,0.48,0.60,1.81,,,AGO,,0.00,0.02,0.04,0.08,0.13,0.17,0.21,0.22,0.88,,,AGO,,0.00,0.01,0.02,0.05,0.14,0.27,0.46,0.68,1.63,,,AGO,1.52
ATG,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,ATG,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,ATG,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,ATG,0.00
ARG,,0.01,0.10,0.24,0.43,0.73,1.01,1.20,1.30,5.02,,,ARG,,0.01,0.10,0.23,0.40,0.66,0.90,1.07,1.16,4.53,,,ARG,,0.00,0.01,0.02,0.03,0.06,0.08,0.10,0.11,0.41,,,ARG,1.38
ARM,,0.00,0.01,0.01,0.02,0.03,0.04,0.04,0.04,0.18,,,ARM,,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.03,0.10,,,ARM,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,ARM,0.03
AUS,,0.02,0.20,0.49,0.89,1.55,2.22,2.73,3.08,11.18,,,AUS,,0.03,0.28,0.64,1.11,1.84,2.52,2.98,3.24,12.63,,,AUS,,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.05,0.17,,,AUS,2.89
AUT,,0.00,0.05,0.11,0.18,0.30,0.39,0.45,0.48,1.97,,,AUT,,0.01,0.09,0.21,0.36,0.60,0.83,0.98,1.06,4.14,,,AUT,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,AUT,0.79
